word,attr,score
able,a,0.07909090909090911
unable,a,-0.36363636363636365
dorsal,a,0.0
abaxial,a,0.0
ventral,a,0.0
adaxial,a,0.0
acroscopic,a,0.0
basiscopic,a,0.0
abducting,a,0.0
abducent,a,0.0
adductive,a,0.0
adducting,a,0.0
adducent,a,0.0
nascent,a,0.0
emerging,a,0.0
emergent,a,-0.08333333333333333
dissilient,a,0.25
parturient,a,0.16666666666666666
dying,a,0.041666666666666664
moribund,a,-0.5
last,a,-0.11279065186905124
abridged,a,0.0
shortened,a,0.0
cut,a,0.033532437691656335
half-length,a,0.0
potted,a,0.0
unabridged,a,0.0
uncut,a,0.356163171145552
full-length,a,0.5
absolute,a,0.027979362140931528
direct,a,0.00133734490240338
unquestioning,a,-0.25
implicit,a,0.25
infinite,a,-0.0487218045112782
living,a,0.3473629534779948
relative,a,-0.16666666666666666
comparative,a,-0.16666666666666666
relational,a,0.0
absorptive,a,0.0
absorbent,a,0.0
sorbefacient,a,0.375
absorbefacient,a,0.375
assimilatory,a,-0.75
assimilative,a,-1.0
assimilating,a,-0.75
hygroscopic,a,0.0
receptive,a,-0.004962406015037605
shock-absorbent,a,0.0
spongy,a,0.08333333333333333
spongelike,a,0.08333333333333333
thirsty,a,0.02505494505494505
nonabsorptive,a,-0.5
nonabsorbent,a,-0.5
resistant,a,-0.5843262362966328
repellent,a,-0.6954545454545455
surface-assimilative,a,0.0
adsorptive,a,0.0
adsorbent,a,0.0
chemosorptive,a,-0.25
chemisorptive,a,-0.25
nonadsorptive,a,-0.25
nonadsorbent,a,-0.25
absorbable,a,0.5
adsorbate,a,0.25
adsorbable,a,0.25
abstemious,a,0.16666666666666666
abstinent,a,-0.625
abstentious,a,-0.625
spartan,a,0.34417582417582426
austere,a,0.09545454545454549
ascetical,a,0.16666666666666666
ascetic,a,0.16666666666666666
gluttonous,a,0.0
crapulous,a,-0.3333333333333333
crapulent,a,-0.5
wolfish,a,0.0
voracious,a,-0.16666666666666666
ravenous,a,-0.25
ravening,a,-0.08181818181818183
rapacious,a,-0.08181818181818183
esurient,a,-0.16363636363636364
edacious,a,0.0
greedy,a,0.034090909090909095
swinish,a,-0.3333333333333333
porcine,a,0.0
piggy,a,-0.125
piggish,a,-0.125
hoggish,a,-0.125
too-greedy,a,-0.25
overgreedy,a,-0.25
abstract,a,0.0
notional,a,-0.1147252747252747
ideational,a,0.375
conceptional,a,0.375
conceptual,a,0.125
ideal,a,0.27272727272727276
ideological,a,0.0
ideologic,a,0.0
concrete,a,0.25
objective,a,0.030315789473684216
tangible,a,0.19428571428571428
real,a,0.007914591294229775
abundant,a,-0.25
galore,a,-0.08333333333333333
abounding,a,-0.25
rich,a,0.02335882133512034
plentiful,a,0.0
plenteous,a,0.125
copious,a,0.08333333333333333
ample,a,0.045454545454545456
voluminous,a,-0.034090909090909095
easy,a,-0.0026404160705714216
riotous,a,-0.34090909090909094
profuse,a,-0.25
luxuriant,a,0.38181818181818183
lush,a,-0.1875
exuberant,a,-0.1772727272727273
thick,a,-0.3353345860321273
long,a,0.0015571348188243568
rife,a,-0.25
plethoric,a,-0.375
overabundant,a,-0.375
rampant,a,-0.2556818181818182
rank,a,-0.23554624056385376
superabundant,a,-0.375
teeming,a,0.0
torrential,a,-0.20454545454545459
verdant,a,-0.375
scarce,a,-0.25
rare,a,-0.0452226345083488
tight,a,-0.43797655228477494
mistreated,a,-0.625
maltreated,a,-0.625
ill-treated,a,-0.625
abused,a,-0.25
battered,a,-0.8181818181818182
unabused,a,0.125
acceptable,a,0.32936842105263164
bankable,a,0.16666666666666666
unimpeachable,a,-0.5727272727272728
unexceptionable,a,-0.375
unobjectionable,a,-0.1534090909090909
unacceptable,a,-0.18285714285714283
objectionable,a,-0.6666666666666666
exceptionable,a,-0.375
accessible,a,0.3142105263157895
reachable,a,0.375
approachable,a,0.5863636363636365
getatable,a,0.625
get-at-able,a,0.625
come-at-able,a,0.75
ready_to_hand,a,0.0
handy,a,0.034090909090909095
unaccessible,a,0.375
inaccessible,a,0.041666666666666664
remote,a,0.021650073064508602
outback,a,0.125
untrodden,a,-0.125
untrod,a,-0.125
untracked,a,-0.125
trackless,a,-0.08333333333333333
roadless,a,-0.125
pathless,a,-0.125
unreached,a,0.0
unreachable,a,0.0
unapproachable,a,-0.25
out_of_reach,a,0.0
ungetatable,a,-0.625
un-get-at-able,a,-0.625
un-come-at-able,a,-0.625
accommodative,a,0.27272727272727276
accommodating,a,0.5
obliging,a,0.75
complaisant,a,0.75
